id,name,address,city,state,latitude,longitude
3984,KFC123 West Northern Lights Blvd,123 West Northern Lights Blvd,Anchorage,AK,61.19536681,-149.8855715
3985,KFC1751 Abbot Road,1751 Abbot Road,Anchorage,AK,61.14102616,-149.8473468
3986,KFC3922 San Jeronimo Street,3922 San Jeronimo Street,Anchorage,AK,61.21156955,-149.8071561
3987,KFC3428 Airport Way,3428 Airport Way,Fairbanks,AK,64.83692398,-147.8005806
3988,KFC62 College Road,62 College Road,Fairbanks,AK,64.85461275,-147.7119184
3989,KFC1761 Palmer Wasilla Highway,1761 Palmer Wasilla Highway,Wasilla,AK,61.57818853,-149.407445
3990,KFC7285 U.S. Highway 431,7285 U.S. Highway 431,Albertville,AL,34.27631481,-86.20596854
3991,KFC955 Airport Drive,955 Airport Drive,Alexander City,AL,32.9207341,-85.95268935
3992,KFC2000 Quintard Avenue,2000 Quintard Avenue,Anniston,AL,33.67071917,-85.82687522
3993,KFC710 Brindlee Mountain Parkway,710 Brindlee Mountain Parkway,Arab,AL,34.32717738,-86.5029009
3994,"KFC205 U.S. Highway 72, W","205 U.S. Highway 72, W",Athens,AL,34.78981876,-86.97207039
3995,KFC1225 South Main Street,1225 South Main Street,Atmore,AL,31.00609969,-87.49367523
3996,KFC500 Cherry Street,500 Cherry Street,Attalla,AL,34.01843664,-86.07722894
3997,KFC1580 Opelika Road,1580 Opelika Road,Auburn,AL,32.62465756,-85.44643405
3998,"KFC1818 Ninth Avenue, North","1818 Ninth Avenue, North",Bessemer,AL,33.40682357,-86.96118651
3999,KFC1217 Carraway Boulevard,1217 Carraway Boulevard,Birmingham,AL,33.53166436,-86.80632551
4000,KFC1653 Center Point Road,1653 Center Point Road,Birmingham,AL,33.63105278,-86.68480163
4001,KFC1674 Gadsden Highway,1674 Gadsden Highway,Birmingham,AL,33.60194011,-86.6386053
4002,KFC1800 20th Street Ensley,1800 20th Street Ensley,Birmingham,AL,33.50944573,-86.88546095
4003,KFC1928 Bessemer Road,1928 Bessemer Road,Birmingham,AL,33.49210988,-86.88324525
4004,KFC7909 Crestwood Boulevard,7909 Crestwood Boulevard,Birmingham,AL,33.530811,-86.71397992
4005,KFC828 Green Springs Highway,828 Green Springs Highway,Birmingham,AL,33.45931097,-86.81707054
4006,KFC1254 U.S. 431,1254 U.S. 431,Boaz,AL,34.20419991,-86.15245169
4007,KFC1925 West Main Street,1925 West Main Street,Centre,AL,34.16076973,-85.71386918
4008,KFC104 Highway 280 B,104 Highway 280 B,Childersburg,AL,33.28342732,-86.36186682
4009,"KFC2035 Seventh Street, South","2035 Seventh Street, South",Clanton,AL,32.80317265,-86.58780077
4010,"KFC1620 Second Avenue, Southwest","1620 Second Avenue, Southwest",Cullman,AL,34.16100345,-86.83520262
4011,KFC5799 Alabama Highway 157,5799 Alabama Highway 157,Cullman,AL,34.20665126,-86.87160844
4012,KFC2208 Beltline Road,2208 Beltline Road,Decatur,AL,34.58442471,-87.02384025
4013,KFC105 Highway 80 East,105 Highway 80 East,Demopolis,AL,32.50366904,-87.83716497
4014,KFC109 N.E. Ross Clark Circle,109 N.E. Ross Clark Circle,Dothan,AL,31.25280005,-85.38714782
4015,KFC1801 S.E. Ross Clark Circle,1801 S.E. Ross Clark Circle,Dothan,AL,31.19251072,-85.37962518
4016,KFC4468-2 West Main Street,4468-2 West Main Street,Dothan,AL,31.23771154,-85.46029778
4017,KFC612 Boll Weevil Circle,612 Boll Weevil Circle,Enterprise,AL,31.31781486,-85.83080865
4018,KFC840 Liberty Hill Drive,840 Liberty Hill Drive,Evergreen,AL,31.45442614,-86.96242483
4019,KFC7159 Aaron Aronov Drive,7159 Aaron Aronov Drive,Fairfield,AL,33.46671534,-86.91581149
4020,KFC1302 North Pine Street,1302 North Pine Street,Florence,AL,34.81852785,-87.68704414
4021,KFC241 Cox Creek Parkway,241 Cox Creek Parkway,Florence,AL,34.83368141,-87.62967508
4022,KFC2460 South McKenzie Street,2460 South McKenzie Street,Foley,AL,30.37960382,-87.68360944
4023,KFC1229 Forestdale Boulevard,1229 Forestdale Boulevard,Forestdale,AL,33.56042996,-86.89200447
4024,KFC308 Greenhill Boulevard N.W,308 Greenhill Boulevard N.W,Fort Payne,AL,34.469054,-85.70190006
4025,KFC579 E. Meighan Boulevard,579 E. Meighan Boulevard,Gadsden,AL,34.00815875,-85.98401612
